Date,Open,High,Low,Close,Volume,Adj Close
2013-11-13,3579.88,3579.89,3522.52,3529.53,000,3529.53
2013-11-12,3582.20,3582.22,3564.76,3579.87,000,3579.87
2013-11-11,3570.33,3590.06,3568.62,3582.20,000,3582.20
2013-11-08,3567.42,3572.98,3539.39,3570.33,000,3570.33
2013-11-07,3587.60,3607.78,3559.26,3567.42,000,3567.42
2013-11-06,3588.48,3600.15,3584.90,3587.60,000,3587.60
2013-11-05,3599.45,3604.71,3569.63,3588.48,000,3588.48
2013-11-04,3585.99,3608.88,3585.92,3599.45,000,3599.45
2013-11-01,3585.33,3599.40,3576.59,3585.99,000,3585.99
2013-10-31,3609.71,3609.71,3579.25,3585.32,000,3585.32
2013-10-30,3606.50,3628.60,3602.09,3609.71,000,3609.71
2013-10-29,3581.12,3607.29,3577.79,3606.50,000,3606.50
2013-10-28,3581.33,3589.98,3570.89,3581.12,000,3581.12
2013-10-25,3578.36,3584.46,3571.30,3581.33,000,3581.33
2013-10-24,3560.30,3582.18,3560.15,3578.36,000,3578.36
2013-10-23,3570.49,3570.49,3550.94,3560.30,000,3560.30
2013-10-22,3551.91,3581.24,3550.84,3570.50,000,3570.50
2013-10-21,3533.23,3551.91,3531.92,3551.91,000,3551.91
2013-10-18,3506.68,3533.23,3506.68,3533.23,000,3533.23
2013-10-17,3503.92,3506.68,3482.42,3506.68,000,3506.68
2013-10-16,3491.25,3509.36,3466.75,3503.92,000,3503.92
2013-10-15,3469.84,3500.47,3469.84,3491.25,000,3491.25
2013-10-14,3457.89,3469.83,3447.48,3469.83,000,3469.83
2013-10-11,3429.82,3458.56,3429.82,3457.89,000,3457.89
2013-10-10,3379.25,3436.18,3379.25,3429.82,000,3429.82
2013-10-09,3392.75,3395.36,3369.27,3379.25,000,3379.25
2013-10-08,3428.10,3428.50,3392.75,3392.75,000,3392.75
2013-10-07,3437.93,3437.93,3405.17,3428.09,000,3428.09
2013-10-04,3435.73,3447.68,3426.49,3437.93,000,3437.93
2013-10-03,3432.23,3448.02,3431.60,3435.72,000,3435.72
2013-10-02,3445.09,3445.09,3409.71,3432.23,000,3432.23
2013-10-01,3443.85,3447.13,3427.21,3445.08,000,3445.08
2013-09-30,3467.27,3467.27,3431.99,3443.85,000,3443.85
2013-09-27,3494.15,3495.89,3455.65,3467.27,000,3467.27
2013-09-26,3488.86,3502.09,3479.98,3494.15,000,3494.15
2013-09-25,3498.91,3506.50,3477.09,3488.86,000,3488.86
2013-09-24,3487.22,3504.00,3485.10,3498.91,000,3498.91
2013-09-23,3508.99,3512.00,3480.54,3487.22,000,3487.22
2013-09-20,3525.25,3527.63,3508.56,3508.99,000,3508.99
2013-09-19,3493.46,3545.72,3493.46,3525.24,000,3525.24
2013-09-18,3500.52,3508.75,3480.92,3493.47,000,3493.47
2013-09-17,3528.58,3528.76,3500.52,3500.52,000,3500.52
2013-09-16,3507.89,3542.69,3507.89,3528.58,000,3528.58
2013-09-13,3509.02,3509.02,3497.40,3507.89,000,3507.89
2013-09-12,3511.18,3518.07,3493.88,3509.02,000,3509.02
2013-09-11,3510.20,3513.38,3498.31,3511.18,000,3511.18
2013-09-10,3479.22,3517.57,3479.22,3510.20,000,3510.20
2013-09-09,3484.84,3488.66,3467.73,3479.21,000,3479.21
2013-09-06,3475.78,3493.67,3456.70,3484.84,000,3484.84
2013-09-05,3445.80,3480.42,3440.97,3475.78,000,3475.78
2013-09-04,3443.56,3452.02,3419.70,3445.80,000,3445.80
2013-09-03,3460.54,3470.07,3436.30,3443.56,000,3443.56
2013-09-02,3410.43,3470.98,3410.43,3460.54,000,3460.54
2013-08-30,3445.26,3453.63,3409.01,3410.43,000,3410.43
2013-08-29,3417.98,3453.49,3417.94,3445.26,000,3445.26
2013-08-28,3427.82,3427.82,3400.58,3417.98,000,3417.98
2013-08-27,3456.96,3457.84,3421.56,3427.81,000,3427.81
